profilename,rating,travel_type
Anna N1,5,"['mit', 'Freunden']"
Katharina,5,"['als', 'Paar']"
Tom tom669,5,['allein']
Rehe,5,"['mit', 'Freunden']"
Marian Tilea,5,"['als', 'Paar']"
Andrea G,5,"['als', 'Paar']"
Ichschon W,5,"['als', 'Paar']"
dicker0,5,"['als', 'Paar']"
Ramona G,5,"['mit', 'Freunden']"
Patricia L.,1,"['als', 'Paar']"
AugsburgPalmtree,5,"['mit', 'Freunden']"
Jack,1,"['mit', 'Freunden']"
Nicki Fish,5,"['als', 'Paar']"
Michaela B,5,"['als', 'Paar']"
Sommerfrische_imHerzen,5,"['als', 'Paar']"
Christian R,5,"['mit', 'der', 'Familie']"
tramper123456,1,"['als', 'Paar']"
Wesley31072004,5,"['als', 'Paar']"
Arne S,1,"['mit', 'Freunden']"
manuela_karl,5,"['als', 'Paar']"
Matze-Sherpa,1,"['mit', 'Freunden']"
Kristina,5,"['als', 'Paar']"
Zonkeydonkey,1,"['mit', 'Freunden']"
SvenD8672,5,"['mit', 'Freunden']"
Ronny K,5,"['als', 'Paar']"
Stephan H,5,"['als', 'Paar']"
bjoern208,5,"['mit', 'Freunden']"
Kückilina,5,"['als', 'Paar']"
Horst Messerschmidt,5,"['als', 'Paar']"
Melaiko Mme.,5,"['mit', 'Freunden']"
Thorsten Brückmann,5,['geschäftlich']
Diana N,5,"['mit', 'Freunden']"
uhoffmann69,1,"['als', 'Paar']"
Gabi M,5,"['mit', 'Freunden']"
Borris B,1,"['als', 'Paar']"
Ferenc S,5,"['als', 'Paar']"
Meiny,5,['allein']
Wulfdominique,5,"['als', 'Paar']"
Stefan D,5,"['mit', 'Freunden']"
Carsten K,1,"['mit', 'Freunden']"
Hendlschorsch,5,"['als', 'Paar']"
TaJoNe,1,"['als', 'Paar']"
korayenginar,5,"['als', 'Paar']"
hblvox,5,"['mit', 'Freunden']"
LiMaPoe,5,"['mit', 'Freunden']"
BorusseLE,5,"['als', 'Paar']"
Andrea C,5,"['als', 'Paar']"
Marion N,5,"['mit', 'Freunden']"
kruemeltiffy,5,"['als', 'Paar']"
Ultraferrum,5,"['als', 'Paar']"
marcoGustoso,5,"['mit', 'Freunden']"
Moritz S,5,"['mit', 'Freunden']"
WiMaNi,5,"['als', 'Paar']"
Beobachter73,1,"['als', 'Paar']"
suesse3933,5,"['mit', 'der', 'Familie']"
Oliver P,5,['allein']
essengehen78,5,"['als', 'Paar']"
Rmeier,5,"['als', 'Paar']"
Evelyn T,5,['geschäftlich']
Daninho93,5,"['als', 'Paar']"
robbie292929,1,"['als', 'Paar']"
solmar2014,5,"['mit', 'Freunden']"
Sleepy55,5,"['mit', 'Freunden']"
Canyonist,1,"['als', 'Paar']"
Christopher,5,"['mit', 'Freunden']"
Christoph,5,"['als', 'Paar']"
HenningBrückner,5,"['als', 'Paar']"
DaMaulwurfn,5,"['als', 'Paar']"
annemariemeyer1,5,"['mit', 'Freunden']"
blinzel,1,['allein']
Meistri-Rator,5,"['mit', 'Freunden']"
Alvarez Ra,5,"['als', 'Paar']"
Ella G,5,"['mit', 'Freunden']"
Thomas L,1,"['mit', 'Freunden']"
Dennis M,5,"['als', 'Paar']"
Marksa6672,5,"['als', 'Paar']"
Manfred H,5,"['als', 'Paar']"
Luftwunder,5,"['als', 'Paar']"
Ronald L,1,"['mit', 'Freunden']"
Boso1,1,['geschäftlich']
nerdXinside,5,"['mit', 'Freunden']"
HeiserTouristik,5,['geschäftlich']
Thomas K,5,"['als', 'Paar']"
Anna N2,5,"['mit', 'Freunden']"
klasseanna,5,"['als', 'Paar']"
gabywolters,5,"['mit', 'Freunden']"
rhcmuevo,5,['allein']
Teufeline D,5,"['als', 'Paar']"
flipii2010,5,"['als', 'Paar']"
Matthias S,1,"['als', 'Paar']"
Olaf T,1,"['mit', 'der', 'Familie']"
PetroGutessen,5,"['mit', 'Freunden']"
Friederike K,1,"['als', 'Paar']"
laempel,5,"['als', 'Paar']"
leckerli2017,5,"['mit', 'Freunden']"
ulifrit,5,"['als', 'Paar']"
hartmannoliver5,5,['geschäftlich']
HenningKlepsch,5,"['mit', 'der', 'Familie']"
Gottfried H,5,"['mit', 'Freunden']"
Freimut H,1,"['als', 'Paar']"
Stefanie K,5,"['als', 'Paar']"
JRT,5,"['mit', 'Freunden']"
joemue68,1,"['als', 'Paar']"
Kerstin  K,5,"['als', 'Paar']"
blackdragon747,5,['allein']
Ajay S,5,"['mit', 'Freunden']"
Volker_K01,1,"['mit', 'Freunden']"
sheilassi,5,"['mit', 'Freunden']"
Michael K,5,"['als', 'Paar']"
muschelschupser1969,5,"['mit', 'Freunden']"
Lukenfiez,1,['allein']
Matthias Estermann,5,"['mit', 'Freunden']"
colmar18,1,['allein']
Taiko22,5,"['mit', 'der', 'Familie']"
Ednico,5,"['als', 'Paar']"
Fipsi01,5,"['mit', 'Freunden']"
Gerd M,5,"['als', 'Paar']"
devilcat1970,1,"['als', 'Paar']"
Hamburgbesuch,5,"['als', 'Paar']"
Florina Z,5,['geschäftlich']
Marco C,5,"['als', 'Paar']"
rometschwolfgang,5,"['als', 'Paar']"
sylvia864,5,"['mit', 'der', 'Familie']"
Elke S,1,"['mit', 'Freunden']"
Bianca G,5,"['als', 'Paar']"
eberhardtbackhaus,5,['geschäftlich']
Birgit Z,5,"['als', 'Paar']"
Lars P,5,"['mit', 'Freunden']"
Günther Oehler,5,"['als', 'Paar']"
Lukas G,5,"['als', 'Paar']"
Gorko3000,5,"['mit', 'Freunden']"
115katrind,5,"['als', 'Paar']"
Beatrix Usuda,5,"['mit', 'Freunden']"
RoMa1809,5,"['als', 'Paar']"
Schlawinerchen,5,"['als', 'Paar']"
Shani A,5,"['mit', 'Freunden']"
mashio85,1,"['mit', 'Freunden']"
DonCerutti,5,"['mit', 'Freunden']"
Hermann W,5,"['als', 'Paar']"
Holger B,5,"['mit', 'Freunden']"
Dirk A,5,"['als', 'Paar']"
Nathalie J,5,"['mit', 'Freunden']"
Peter P,1,"['als', 'Paar']"
Litti123,5,"['mit', 'Freunden']"
JimDoe444,1,"['als', 'Paar']"
Nina h,1,"['als', 'Paar']"
rochrist88,5,"['als', 'Paar']"
Walter K,5,"['als', 'Paar']"
Trikertom,5,"['mit', 'der', 'Familie']"
ahctravel,5,"['mit', 'Freunden']"
KathymitdemRucksack,5,"['mit', 'Freunden']"
71stephanb,5,"['mit', 'Freunden']"
Julia R,5,"['mit', 'Freunden']"
mad0enna,5,"['als', 'Paar']"
Doris Ratt,5,"['mit', 'Freunden']"
Stefan L,1,"['als', 'Paar']"
Kaessrinn,5,"['als', 'Paar']"
Michael D,1,"['als', 'Paar']"
Die S,5,"['als', 'Paar']"
Simone S,5,"['mit', 'Freunden']"
N S,5,"['mit', 'Freunden']"
Ulf V,5,"['mit', 'Freunden']"
hilke222,5,"['mit', 'Freunden']"
Christian040589,5,"['als', 'Paar']"
Bianca M,5,"['mit', 'Freunden']"
Torsten Prasse,5,"['als', 'Paar']"
Knut H,5,"['mit', 'Freunden']"
Jonas H,1,"['als', 'Paar']"
Svetlana S,5,['allein']
Ma-No S,5,"['mit', 'der', 'Familie']"
Robbie R,5,['allein']
Frank B,5,"['mit', 'der', 'Familie']"
Clemens H,5,"['mit', 'Freunden']"
uschi1750,5,"['mit', 'Freunden']"
