User_name,visited_attraction,Ranking,city,country,Site_reviews_count,category,attraction_type,price
Anna N1,Reeperbahn,"['74', 'von', '354']",Hamburg, Deutschland,2.309,Attraktion,"Wahrzeichen & Sehenswürdigkeiten, Stadtviertel",
Anna N1,Casa del Sabor Restaurant,,Hamburg, Deutschland,339,Restaurant,"Wahrzeichen & Sehenswürdigkeiten, Stadtviertel",€€ - €€€
Anna N1,Hanoi eBuddies - Day Tours,,Hanoi, Vietnam,49,Attraktion,,
Anna N1,Champion Sports Bar,,Ho-Chi-Minh-Stadt, Vietnam,123,Restaurant,,€€ - €€€
Anna N1,Cu Chi Tunnels,"['1', 'von', '235']",Ho-Chi-Minh-Stadt, Vietnam,25.440,Attraktion,Wahrzeichen & Sehenswürdigkeiten,
Anna N1,Kriegsopfermuseum,"['2', 'von', '235']",Ho-Chi-Minh-Stadt, Vietnam,32.698,Attraktion,Historische Museen,
Anna N1,Ben Thanh Market,"['60', 'von', '235']",Ho-Chi-Minh-Stadt, Vietnam,13.053,Attraktion,Floh- & Straßenmärkte,
Anna N1,L'Amore,,Hanoi, Vietnam,82,Restaurant,Floh- & Straßenmärkte,€€ - €€€
Anna N1,Horton Plains National Park,"['2', 'von', '38']",Nuwara Eliya, Sri Lanka,2.527,Attraktion,"Nationalparks, Natur- & Tierschutzgebiete",
Anna N1,Golden Time Hostel 3,,Hanoi, Vietnam,508,Hotel,,14 $
Anna N1,Old Quarter,[],Hanoi, Vietnam,28.290,Attraktion,,
Anna N1,Kim Long Hotel,,Can Tho, Vietnam,345,Hotel,,13 $
Anna N1,Bali Dream Tour,,Ubud, Indonesien,75,Attraktion,,
Anna N1,Speed Ferry Cambodia,"['32', 'von', '34']",Sihanoukville, Kambodscha,543,Attraktion,Fähren,
Anna N1,Olive & Olive Mediterranean Restaurant,,Sihanoukville, Kambodscha,1.312,Restaurant,Fähren,
Anna N1,Perennial Resort,,Phuket, Thailand,290,Hotel,,56 $
Anna N1,Koh Phi Phi Viewpoint,"['1', 'von', '17']",Ko Phi Phi Don, Thailand,5.038,Attraktion,Wahrzeichen & Sehenswürdigkeiten,
Anna N1,Fahrrad taxi rickshaw stadt tour besichtigung,,Mirissa, Sri Lanka,51,Hotel,,
Anna N1,Zephyr Restaurant & Bar,,Mirissa, Sri Lanka,2.125,Restaurant,,€€ - €€€
Anna N1,Marble Beach,"['4', 'von', '38']",Trincomalee, Sri Lanka,385,Attraktion,Strände,
Katharina,Reeperbahn,"['74', 'von', '354']",Hamburg, Deutschland,2.309,Attraktion,"Wahrzeichen & Sehenswürdigkeiten, Stadtviertel",
Katharina,Hamburg Dungeon,"['11', 'von', '83']",Hamburg, Deutschland,2.234,Attraktion,"Spiel- & Unterhaltungszentren, Spezialmuseen",
Katharina,Elbphilharmonie,"['3', 'von', '59']",Hamburg, Deutschland,3.507,Attraktion,"Architektonische Gebäude, Symphoniekonzerte, Konzerte",
Katharina,Luigi's Pizzeria & Pasteria,,Hamburg, Deutschland,903,Restaurant,"Architektonische Gebäude, Symphoniekonzerte, Konzerte",€€ - €€€
Katharina,Lindauer Hutte,,Tschagguns, Österreich,42,Hotel,,
Katharina,Silvretta-Hochalpenstraße,"['1', 'von', '4']",Partenen, Österreich,129,Attraktion,Outdoor-Aktivitäten (sonstige),
Katharina,Hotel-Restaurant Krone,,Schruns, Österreich,122,Restaurant,Outdoor-Aktivitäten (sonstige),€€ - €€€
Katharina,Wormser Hütte,,Schruns, Österreich,27,Hotel,,
Katharina,Kristbergbahn,"['2', 'von', '4']",Silbertal, Österreich,11,Attraktion,Straßenbahnen,
Katharina,Knappastoba,,Silbertal, Österreich,31,Restaurant,Straßenbahnen,€€ - €€€
Katharina,Haus Schnetzer,,Schruns, Österreich,1,Hotel,,77 $
Katharina,Le Feu - Der Flammkuchen in Belm,,Belm, Deutschland,7,Restaurant,,€€ - €€€
Katharina,Milka Lädele,"['2', 'von', '11']",Bludenz, Österreich,34,Attraktion,Factory-Outlet-Center,
Katharina,Restaurant Litz,,Schruns, Österreich,59,Restaurant,Factory-Outlet-Center,€€ - €€€
Katharina,Taube Restaurant,,Schruns, Österreich,51,Restaurant,Factory-Outlet-Center,€€ - €€€
Katharina,Almhütte Fellimännle,,Silbertal, Österreich,26,Restaurant,Factory-Outlet-Center,€€ - €€€
Katharina,Agriturismo La Selvaggia,,Mandello del Lario, Italien,609,Restaurant,Factory-Outlet-Center,€
Katharina,Sister's Cafe,,Lierna, Italien,70,Restaurant,Factory-Outlet-Center,€
Katharina,Sottovento Lago di Como,,Lierna, Italien,520,Restaurant,Factory-Outlet-Center,€€ - €€€
Katharina,Das seidl Hotel & Tagung,,Puchheim, Deutschland,170,Hotel,,84 $
Tom tom669,Reeperbahn,"['74', 'von', '354']",Hamburg, Deutschland,2.309,Attraktion,"Wahrzeichen & Sehenswürdigkeiten, Stadtviertel",
Tom tom669,Luigi's Pizzeria & Pasteria,,Hamburg, Deutschland,903,Restaurant,"Wahrzeichen & Sehenswürdigkeiten, Stadtviertel",€€ - €€€
Tom tom669,Schnitzelhaus Alte Münz Heidelberg,,Heidelberg, Deutschland,279,Restaurant,"Wahrzeichen & Sehenswürdigkeiten, Stadtviertel",€€ - €€€
Tom tom669,Romanushof,,Leipzig, Deutschland,259,Restaurant,"Wahrzeichen & Sehenswürdigkeiten, Stadtviertel",€€ - €€€
Tom tom669,Panorama Tower,"['8', 'von', '166']",Leipzig, Deutschland,622,Attraktion,"Wahrzeichen & Sehenswürdigkeiten, Aussichtsplattformen & -türme",
Tom tom669,Ratskeller,,Leipzig, Deutschland,1.108,Restaurant,"Wahrzeichen & Sehenswürdigkeiten, Aussichtsplattformen & -türme",€€ - €€€
Tom tom669,La Cantina,,Leipzig, Deutschland,46,Restaurant,"Wahrzeichen & Sehenswürdigkeiten, Aussichtsplattformen & -türme",€€ - €€€
Tom tom669,La Cantina,,Leipzig, Deutschland,46,Restaurant,"Wahrzeichen & Sehenswürdigkeiten, Aussichtsplattformen & -türme",€€ - €€€
Tom tom669,Olea,,Leipzig, Deutschland,49,Restaurant,"Wahrzeichen & Sehenswürdigkeiten, Aussichtsplattformen & -türme",€€ - €€€
Tom tom669,Restaurant Johann S.,,Leipzig, Deutschland,87,Restaurant,"Wahrzeichen & Sehenswürdigkeiten, Aussichtsplattformen & -türme",€€ - €€€
Tom tom669,Gaststätte Kollektiv,,Leipzig, Deutschland,218,Restaurant,"Wahrzeichen & Sehenswürdigkeiten, Aussichtsplattformen & -türme",€
Rehe,Reeperbahn,"['74', 'von', '354']",Hamburg, Deutschland,2.309,Attraktion,"Wahrzeichen & Sehenswürdigkeiten, Stadtviertel",
Rehe,JUFA Hotel Hamburg HafenCity,,Hamburg, Deutschland,251,Hotel,,116 $
Marian Tilea,Hipotels Playa de Palma Palace,,Mallorca, Spanien,446,Hotel,,170 $
Marian Tilea,Restaurant Carls,,Rostock, Deutschland,146,Restaurant,,€€ - €€€
Marian Tilea,Zum Stromer,,Rostock, Deutschland,226,Restaurant,,€€ - €€€
Marian Tilea,Restaurant GUTMANNSDÖRFER,,Warnemünde, Deutschland,52,Restaurant,,€€ - €€€
Marian Tilea,Hotel NEPTUN,,Warnemünde, Deutschland,484,Hotel,,
Marian Tilea,Reeperbahn,"['74', 'von', '354']",Hamburg, Deutschland,2.309,Attraktion,"Wahrzeichen & Sehenswürdigkeiten, Stadtviertel",
Marian Tilea,"Reichshof Hamburg, Curio Collection by Hilton",,Hamburg, Deutschland,1.671,Hotel,,143 $
Marian Tilea,Strand Warnemünde,"['2', 'von', '36']",Warnemünde, Deutschland,246,Attraktion,Strände,
Marian Tilea,Grillstube Broiler,,Warnemünde, Deutschland,231,Restaurant,Strände,€€ - €€€
Marian Tilea,City Partner Top Hotel Krämer,,Koblenz, Deutschland,254,Hotel,,116 $
Marian Tilea,Los Gauchos,,Koblenz, Deutschland,352,Restaurant,,€€ - €€€
Marian Tilea,Festung Ehrenbreitstein,"['7', 'von', '100']",Koblenz, Deutschland,1.349,Attraktion,Historische Stätten,
Marian Tilea,Deutsches Eck (German Corner),"['4', 'von', '100']",Koblenz, Deutschland,2.031,Attraktion,Wahrzeichen & Sehenswürdigkeiten,
Marian Tilea,Seilbahn Koblenz,"['1', 'von', '100']",Koblenz, Deutschland,1.376,Attraktion,Straßenbahnen,
Marian Tilea,Cafe del Mar Phuket,,Phuket, Thailand,578,Restaurant,Straßenbahnen,€€ - €€€
Marian Tilea,Nana's Rooftop Restaurant,,Phuket, Thailand,57,Restaurant,Straßenbahnen,€€ - €€€
Marian Tilea,Grill Bill,,Phuket, Thailand,1.423,Restaurant,Straßenbahnen,€€ - €€€
Marian Tilea,Smile Bar,,Phuket, Thailand,563,Restaurant,Straßenbahnen,€€ - €€€
