,Name,Ranking,A_Type,B_Type,Date,Country
0,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['vor', '4', 'Tagen']",
1,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['vor', '4', 'Tagen']",
2,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['vor', '4', 'Tagen']",
3,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['vor', '4', 'Tagen']",
4,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['vor', '5', 'Tagen']",
5,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['vor', '6', 'Tagen']",
6,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['vor', '6', 'Tagen']",
7,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['vor', '6', 'Tagen']",
8,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['vor', '2', 'Wochen']",Deutschland
9,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['vor', '2', 'Wochen']",Deutschland
10,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['vor', '4', 'Wochen']",
11,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['14.', 'April', '2020']",Deutschland
12,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['12.', 'April', '2020']",Deutschland
13,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['27.', 'März', '2020']",
14,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['27.', 'März', '2020']",
15,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['27.', 'März', '2020']",
16,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['25.', 'März', '2020']",Königreich
17,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['24.', 'März', '2020']",Deutschland
18,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['23.', 'März', '2020']",
19,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['21.', 'März', '2020']",Deutschland
20,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['20.', 'März', '2020']",
21,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['17.', 'März', '2020']",
